Disease,Gene,Inheritance,OMIM,T cells,B cells,Ig,Associated features,,
"γc deficiency (common gamma chain SCID, CD132 deficiency) ",IL2RG,XL ,300400 ,Very low ,Normal to high ,Low ,Low NK ,,
JAK3 deficiency ,JAK3,AR ,600802 ,Very low ,Normal to high ,Low ,Low NK ,,
IL-7Rα deficiency ,IL7R,AR ,608971 ,Very low ,Normal to high ,Low ,Normal NK ,,
CD45 deficiency ,PTPRC,AR ,619924 ,Very low ,Normal ,Low ,Normal γ/δ T cells ,,
CD3δ deficiency ,CD3D,AR ,615617 ,Very low ,Normal ,Low ,"Normal NK, no γ/δ T cells ",,
CD3ε deficiency ,CD3E,AR ,615615 ,Very low ,Normal ,Low ,"Normal NK, no γ/δ T cells ",,
CD3ζ deficiency ,CD247,AR ,610163 ,Very low ,Normal ,Low ,"Normal NK, no γ/δ T cells ",,
Coronin-1A deficiency ,CORO1A,AR ,615401 ,Very low ,Normal ,Low ,Detectable thymus ,,
LAT deficiency ,LAT,AR ,617514 ,Normal to low ,Normal to low ,High ,"Typical SCID or CID, the latter with adenopathy, splenomegaly, recurrent infections, autoimmunity ",,
SLP76 deficiency ,LCP2,AR ,619374 ,Reduced ,Normal ,"High IgM, low IgA ","Early-onset skin abscesses, rash, recurrent infections, autoimmunity ",,
RAG deficiency ,RAG1,AR ,179615 ,Very low ,Very low ,Decreased ,"Normal NK cell number, but increased risk of graft rejection, possibly due to activated NK cells ",,
DCLRE1C (Artemis) deficiency ,DCLRE1C,AR ,602450 ,Very low ,Very low ,Decreased ,"Normal NK cell number, but increased risk of graft rejection, possibly due to activated NK cells, radiation sensitivity ",,
DNA-PKcs deficiency ,PRKDC,AR ,615966 ,Very low ,Very low ,Variable ,"Normal NK, radiation sensitivity, microcephaly ",,
Cernunnos/XLF deficiency ,NHEJ1,AR ,611291 ,Very low ,Very low ,Decreased ,"Normal NK, radiation sensitivity, microcephaly ",,
DNA ligase IV deficiency ,LIG4,AR ,606593 ,Very low ,Very low ,Decreased ,"Normal NK, radiation sensitivity, microcephaly ",,
ADA deficiency ,ADA,AR ,102700 ,Very low ,"Low, decreasing ","Low, decreasing ","Low NK, bone defects, may have pulmonary alveolar proteinosis, cognitive defects, sensorineural deafness, and multicentric dermatofibrosarcoma protuberans ",,
AK2 defect ,AK2,AR ,267500 ,Very low ,Very low ,Decreased ,Reticular dysgenesis with neutropenia; deafness ,,
Activated RAC2 defect ,RAC2,AD,618986 ,Very low ,Very low ,"Low, poor specific antibody responses ","Recurrent bacterial and viral infections, lymphoproliferation; neutropenia ",,
NUDCD3 deficiency ,NUDCD3,AR ,NA ,Very low ,Very low ,Decreased ,"OS, abnormal VDJ recombination ",,
CD40 ligand (CD154) deficiency ,CD40LG,XL ,308230 ,Normal to low ,"sIgM+IgD+ naïve B cells present; IgG+, IgA+, IgE+ memory B cells absent ","IgM normal or high, other Ig isotypes low ","Severe and opportunistic infections, idiopathic neutropenia; hepatitis and cholangitis, Cryptosporidium infections, cholangiocarcinoma; neutropenia and other blood cytopenias; peripheral neuroectodermal tumors ",,
CD40 deficiency ,CD40,AR ,606843 ,Normal ,"Neutropenia, opportunistic infections, gastrointestinal and biliary tract and liver disease, Cryptosporidium infections ",,,,
ICOS deficiency ,ICOS,AR ,607594 ,Normal ,Normal ,Low ,"Recurrent infections, autoimmunity, gastroenteritis, granulomas ",,
ICOSL deficiency ,ICOSLG,AR ,620825 ,Low ,Low ,Low ,"Recurrent bacterial and viral infections, neutropenia ",,
CD3γ deficiency ,CD3G,AR ,615607 ,"Normal number, but low TCR expression ",Normal ,Normal ,Immune deficiency and autoimmunity of variable severity ,,
CD8 deficiency ,CD8A,AR ,608957 ,"Absent CD8, normal CD4 ",Normal ,Normal ,"Recurrent infections, may be asymptomatic ",,
ZAP-70 deficiency (ZAP70 LOF) ,ZAP70,AR ,269840 ,"Low CD8 number, normal CD4 number but with poor function ",Normal ,Normal ,"May have immune dysregulation, autoimmunity ",,
ZAP-70 combined hypomorphic and activating mutations ,ZAP70,AR,617006 ,"Decreased CD8, normal or decreased CD4 cells ",Normal or decreased ,"Normal IgA, low IgM, low/normal IgG; protective Ab responses to vaccines ","Severe autoimmunity (bullous pemphigoid, inflammatory colitis) ",,
MHC class I deficiency ,TAP1,AR ,604571 ,"Low CD8, normal CD4, absent MHC I on lymphocytes ",Normal ,Normal ,"Vasculitis, pyoderma gangrenosum ",,
MHC class I deficiency ,TAP2,AR ,620813 ,,,,,,
MHC class I deficiency ,TAPBP,AR ,620814 ,,,,,,
MHC class I deficiency ,B2M,AR ,241600 ,"Sinopulmonary infections, cutaneous granulomas. Absent β2m-associated proteins MHC I, CD1a, CD1b, and CD1c ",,,,,
"MHC class II deficiency group A, B, C, D ",CIITA,AR ,209920 ,"Low CD4+ T cells, reduced MHC II expression on lymphocytes ",Normal ,Normal to low ,"Failure to thrive, respiratory and gastrointestinal infections, liver/biliary tract disease ",,
,RFXANK,AR ,620815 ,,,,,,
,RFX5,AR ,620816 ,,,,,,
,RFXAP,AR ,620817 ,,,,,,
IKAROS deficiency ,IKZF1,AD,616873 ,No memory T cells ,No memory B cells ,Low Ig ,"Recurrent sinopulmonary infections, PJP, and early-onset CID ",,
DOCK8 deficiency ,DOCK8,AR ,243700 ,"T-cell lymphopenia, reduced naïve CD8 T cells, increased exhausted CD8+ TEM cells, reduced MAIT, NKT cells, increased γδ cells; poor proliferation; few Treg with poor function ","Increased total B cells, reduced memory B cells, poor peripheral B-cell tolerance ","Low IgM, normal/high IgG and IgA, very high IgE, poor antibody responses ","Low NK cells with poor function. Eosinophilia, recurrent infections, cutaneous viral, fungal, and staphylococcal infections, severe atopy/allergic disease, cancer diathesis ",,
DOCK2 deficiency ,DOCK2,AR ,616433 ,Low ,Normal ,"IgG normal or low, poor antibody responses ","Early invasive herpes viral, bacterial infections, normal NK cell number, but defective function. Poor interferon responses in hematopoietic and nonhematopoietic cells ",,
